,TopSideMeasure,LeftSideMeasure,BottomSideMeasure,RightSideMeasure,Time,hDiff,vDiff
trial1\1_2023-07-25-122526-0000.jpg,627.0964838045259,1075.6365557194492,626.386462178103,1064.6088483569915,0.12268970004515722,0.710021626422872,11.027707362457704
trial1\1_2023-07-25-122526-0001.jpg,628.0963301914762,1075.0,628.0,1064.0,0.11200820002704859,0.0963301914762269,11.0
trial1\1_2023-07-25-122526-0002.jpg,628.0963301914762,1075.0,628.0,1064.0,0.10533910000231117,0.0963301914762269,11.0
trial1\1_2023-07-25-122526-0003.jpg,628.4210372035615,1066.6419267964297,629.0961770667502,1054.6146215561398,0.11396400001831353,-0.6751398631887469,12.027305240289934
trial1\1_2023-07-25-122526-0004.jpg,636.0951186733004,1067.0,619.0,1056.136828256642,0.12158889998681843,17.095118673300362,10.863171743357952
trial1\1_2023-07-25-122526-0005.jpg,637.0,1065.1694700844557,618.0,1065.0,0.14739410002948716,19.0,0.16947008445572465
trial1\1_2023-07-25-122526-0006.jpg,636.0,1075.1506871132065,618.0978886875444,1064.0,0.13932399998884648,17.902111312455645,11.150687113206459
trial1\1_2023-07-25-122526-0007.jpg,638.112842685367,1068.0,620.0,1056.15339794937,0.11508259997935966,18.112842685367013,11.846602050630054
trial1\1_2023-07-25-122526-0008.jpg,628.0,1076.1677378550241,628.0796127880604,1066.1693111321486,0.11876839998876676,-0.07961278806044447,9.998426722875593
trial1\1_2023-07-25-122526-0009.jpg,624.0969475970861,1075.0,624.0,1064.0,0.11574060004204512,0.096947597086114,11.0
trial1\1_2023-07-25-122526-0010.jpg,626.3521373796053,1063.6094207931783,625.3870801351752,1064.643132697525,0.11553159996401519,0.9650572444301133,-1.0337119043467737
trial1\1_2023-07-25-122526-0011.jpg,624.0,1084.1665001280937,624.0969475970861,1073.1682067597792,0.11785300000337884,-0.096947597086114,10.998293368314535
trial1\1_2023-07-25-122526-0012.jpg,625.3870801351752,1070.4657864686756,624.8199740725323,1060.4272723765644,0.11349720001453534,0.5671060626428925,10.0385140921112
trial1\1_2023-07-25-122526-0013.jpg,625.0,1065.0,625.0,1065.0,0.10997859999770299,0.0,0.0
trial1\1_2023-07-25-122526-0014.jpg,627.0,1069.0,627.0964838045259,1058.0,0.10953349998453632,-0.09648380452586025,11.0
trial1\1_2023-07-25-122526-0015.jpg,624.0649004710968,1065.1521018145718,624.1153739494005,1062.152531419099,0.1148422000114806,-0.05047347830361559,2.9995703954728015
trial1\1_2023-07-25-122526-0016.jpg,635.0952684440343,1075.0,618.0,1064.1357996045429,0.1243114999961108,17.095268444034332,10.864200395457146
trial1\1_2023-07-25-122526-0017.jpg,626.3194073314351,1073.1682067597792,627.0964838045259,1064.1522447469629,0.12839159998111427,-0.7770764730908013,9.015962012816317
trial1\1_2023-07-25-122526-0018.jpg,635.0952684440343,1075.6365557194492,617.3572709541858,1065.1694700844557,0.13976310001453385,17.737997489848567,10.46708563499351
trial1\1_2023-07-25-122526-0019.jpg,626.0,1072.1683636444418,625.1351853799305,1059.1529634571202,0.12871339998673648,0.8648146200695237,13.015400187321575
trial1\1_2023-07-25-122526-0020.jpg,626.0,1064.0,626.0,1064.0,0.11031209997599944,0.0,0.0
trial1\1_2023-07-25-122526-0021.jpg,626.0966379082386,1068.1516746230377,626.0966379082386,1068.1516746230377,0.1245286000194028,0.0,0.0
trial1\1_2023-07-25-122526-0022.jpg,638.0,1065.2070221323177,617.0,1065.0,0.12619630002882332,21.0,0.2070221323176611
